$n$;$||x_k - x^*||$;$||x_k - x^*||/||x^*||$
50;75700.04;365.37679
100;76566.315;131.62993
150;139977.15;131.31533
200;1678288.4;1023.8987
250;1612848.4;704.6013
300;7037731.9;2340.0613
350;60943884;16086.411
400;41509913;8970.3422
450;16107138;2917.6761
500;4966729.2;768.29004
550;20235880;2713.6068
600;83560374;9835.3911
650;15928894;1662.9356
700;15650408;1462.0902
750;58196914;4902.6923
800;36976948;2827.807
850;1.5926137e+08;11121.406
900;48324757;3097.4535
950;25702616;1519.1821
1000;38302311;2096.3318
